

target,data
20180610, 77
20180617, 63
20180624, 68
20180701, 56
20180708, 53
20180715, 62
20180722, 68
20180729, 57
20180805, 62
20180812, 63
20180819, 53
20180826, 51
20180902, 57
20180909, 50
20180916, 46
20180923, 43
20180930, 37
20181007, 42
20181014, 38
20181021, 34
20181028, 35
20181104, 35
20181111, 48
20181118, 73
20181125, 75
20181202, 63
20181209, 59
20181216, 62
20181223, 52
20181230, 42
20190106, 42
20190113, 37
20190120, 34
20190127, 34
20190203, 38
20190210, 32
20190217, 39
20190224, 38
20190303, 34
20190310, 32
20190317, 35
20190324, 31
20190331, 63
20190407, 50
20190414, 42
2019021, 47
20190428, 40
20190505, 59
20190512, 100
20190519, 74
20190526, 75
20190602, 61
